dataset,method,threshold,threshold_std,accuracy,accuracy_std,f1,f1_std,g,g_std,lima,lima_std,p_minus,p_plus
ecoli,Li \& Ma threshold (ours; PK-CCN),0.31949135887122115,0.09202356816171693,0.8639880952380953,0.06074176855991381,0.5059829367621387,0.0730932352378429,0.5283584731406207,0.06382744902736433,5.3437281318545615,1.1972857757755075,0.1,0.3
ecoli,Menon et al. (2015; PK-CCN; accuracy),0.3841016232341137,0.04671213550950902,0.9098214285714287,0.01796386239288903,0.5379234691855422,0.06194645493009021,0.5430954760013638,0.06289022087165262,5.263732345892423,1.2889616247300908,0.1,0.3
ecoli,Menon et al. (2015; PK-CCN; F1 score),0.34785477583091956,0.07742216050071464,0.8894345238095237,0.033772325785478514,0.5236693746097302,0.0580065266634598,0.5366346248241992,0.05478778744733687,5.418794609556923,1.1439442619868891,0.1,0.3
ecoli,Menon et al. (2015; CK-CCN; accuracy),0.4,1.8010195682678647e-17,0.9120535714285714,0.015190238279970058,0.5055289062534976,0.10298603547022776,0.516123010908417,0.09964930679963559,4.986302980193573,1.5682961832934204,0.1,0.3
ecoli,Menon et al. (2015; CK-CCN; F1 score),0.3503686122301043,0.06827801875288989,0.8909226190476189,0.03267787523624879,0.5207530274198179,0.06637869280619521,0.5308194299429438,0.06389015509231438,5.29114937361677,1.243958447106939,0.1,0.3
ecoli,Menon et al. (2015; CU-CCN; accuracy),0.34526243647639376,0.04858343435146455,0.8995535714285714,0.026176143121769354,0.5475768194550835,0.06360780583078535,0.553064224536154,0.06080874454339613,5.429779081717931,1.2545572233635836,0.1,0.3
ecoli,Menon et al. (2015; CU-CCN; F1 score),0.2472879143522307,0.07811989540748239,0.8125,0.06777822654653932,0.4705387100630255,0.07261161070156216,0.5134419268068158,0.060322592876212645,5.3039858859612306,1.1378924796354744,0.1,0.3
ecoli,Mithal et al. (2017; CU-CCN; G measure),0.2890268818256584,0.13271776969405227,0.6697916666666667,0.22004639043639498,0.3433510627894169,0.11601257017365244,0.397402228065292,0.090409695124032,4.264692733794389,1.3164629713232587,0.1,0.3
ecoli,Yao et al. (2020; CU-CCN; accuracy),0.5000000000000001,0.0,0.9133928571428571,0.013922786537270698,0.394726287629353,0.16275834458680496,0.4359078568708803,0.14777203802887057,4.159689964570345,2.521974541113454,0.1,0.3
ecoli,default (accuracy),0.5,0.0,0.9133928571428571,0.013922786537270698,0.394726287629353,0.16275834458680496,0.4359078568708803,0.14777203802887057,4.159689964570345,2.521974541113454,0.1,0.3
