dataset,method,threshold,threshold_std,accuracy,accuracy_std,f1,f1_std,g,g_std,lima,lima_std,p_minus,p_plus
ecoli,Li \& Ma tree (ours; PK-CCN),0.5187441856355004,0.1328823749901114,0.5422619047619047,0.2859265704421456,0.30928995875701604,0.16601171747226998,0.3777901420752273,0.12780317498028634,1.1166242452346715,1.313339384709311,0.5,0.25
optical_digits,Li \& Ma tree (ours; PK-CCN),0.5935364544061692,0.00931926452337276,0.9449822064056939,0.010478145955287189,0.684989768398123,0.06219084316554642,0.6960667714076363,0.05510943869714878,7.872866720078298,1.0480605577204192,0.5,0.25
satimage,Li \& Ma tree (ours; PK-CCN),0.5848873962713528,0.019544458369013872,0.8728826728826728,0.04071943721570173,0.48853117035882443,0.045871018030836846,0.5071963055351902,0.03768253223180428,5.692726276104951,0.9544344180222777,0.5,0.25
pen_digits,Li \& Ma tree (ours; PK-CCN),0.5950469336628882,0.004748362076590078,0.9745087336244541,0.006270498717896549,0.8640063390949786,0.03216793859618671,0.8648920232251912,0.032260560368788216,13.999174914373764,0.803423647989556,0.5,0.25
abalone,Li \& Ma tree (ours; PK-CCN),0.48816258918380634,0.10508005388063615,0.5759636102465885,0.22592617843528195,0.26229534776602753,0.0786410140398308,0.33626739581021525,0.06192962117986465,3.199413943732647,1.5525879007059962,0.5,0.25
sick_euthyroid,Li \& Ma tree (ours; PK-CCN),0.5658449951409394,0.024121802612228817,0.8776478027189377,0.1303226381522495,0.5674893852826903,0.18232906116366385,0.5904111918575848,0.15456152298392903,5.135117321571707,2.0652465732664904,0.5,0.25
spectrometer,Li \& Ma tree (ours; PK-CCN),0.6266001211716988,0.0813447408215049,0.7717514124293785,0.16937325859174732,0.3756192889955776,0.17590907259146332,0.42793763232715704,0.15521714468240075,0.7187552614009487,1.0435388622105983,0.5,0.25
car_eval_34,Li \& Ma tree (ours; PK-CCN),0.5224333486526196,0.064409101652056,0.7296296296296296,0.20755924540428192,0.29808166475380904,0.1081150779555697,0.3470515397384524,0.09403258288284137,1.315964603833305,0.7556000667173702,0.5,0.25
isolet,Li \& Ma tree (ours; PK-CCN),0.5560278745573456,0.008336062534656253,0.8690008977811979,0.048678742133235815,0.4251156581827626,0.08489910601981827,0.44632332296083144,0.06994706771563386,5.089603609593479,0.9210414972401386,0.5,0.25
us_crime,Li \& Ma tree (ours; PK-CCN),0.5930939913472619,0.01692831965250716,0.8668004012036109,0.04008837742193995,0.3499573101339545,0.04194357938516526,0.36702663709546346,0.03367395080938671,2.9158837905614456,1.1548609145284436,0.5,0.25
yeast_ml8,Li \& Ma tree (ours; PK-CCN),0.4962263946412028,0.08213740536803686,0.4354985519238726,0.28776220247626483,0.13244786326252217,0.021005027174931322,0.21092055677872984,0.07089283994288142,0.9557932472574114,0.9121306654690412,0.5,0.25
scene,Li \& Ma tree (ours; PK-CCN),0.5046646591270584,0.044722452087338826,0.4560864146240132,0.21805297190287753,0.14052058705266038,0.01419148942305627,0.21982451383126872,0.05566259661081696,0.9312833587285445,0.8744142226627198,0.5,0.25
libras_move,Li \& Ma tree (ours; PK-CCN),0.5867102999719597,0.10209615292026589,0.6677777777777777,0.20898601465406158,0.1702177709153329,0.06850912971436292,0.21622489270117304,0.06477495785740688,1.061740668689435,0.6494472170877224,0.5,0.25
thyroid_sick,Li \& Ma tree (ours; PK-CCN),0.5654699927254285,0.016470296101385257,0.9312831389183458,0.033508752843190166,0.5351032808246687,0.11257422023374604,0.5551539484439568,0.09828272293416498,4.063313078143419,2.4036304889348696,0.5,0.25
coil_2000,Li \& Ma tree (ours; PK-CCN),0.4410781305825475,0.0876310554969555,0.2661576053756872,0.262557305886385,0.11140308924916811,0.002650363797347148,0.21329903690184474,0.04162557020344038,2.234943708224858,1.8530180675706267,0.5,0.25
arrhythmia,Li \& Ma tree (ours; PK-CCN),0.5224191489338202,0.08648740864123641,0.529646017699115,0.23884892634684646,0.10593129213829348,0.014030088632959733,0.16794849862648706,0.041142790961839364,0.3861387695596153,0.421298826400986,0.5,0.25
solar_flare_m0,Li \& Ma tree (ours; PK-CCN),0.5669010103509418,0.03576401420501202,0.8142548596112311,0.1454399485012389,0.1577323287001025,0.06419167162275063,0.184424146024426,0.06781512917726464,1.08022490211772,0.5848994899056825,0.5,0.25
oil,Li \& Ma tree (ours; PK-CCN),0.6367652300383206,0.08025784416626625,0.8025613660618998,0.21106461078903288,0.14994033744033747,0.10234765847239959,0.17910756235285455,0.10329478480368709,0.9234132309809875,1.3070582340967862,0.5,0.25
car_eval_4,Li \& Ma tree (ours; PK-CCN),0.5445037914455357,0.10373541871107411,0.6782407407407407,0.3336689832881114,0.1401608585123447,0.11383176850378637,0.18542952208821037,0.0978325695636437,1.004653308188706,1.4436229131140461,0.5,0.25
wine_quality,Li \& Ma tree (ours; PK-CCN),0.5543927278345752,0.03908986555587123,0.723070641077991,0.18389912611434425,0.12017600181254462,0.0385418820036316,0.16775008179789735,0.020847832536082554,0.9124605227234204,0.8061259186479196,0.5,0.25
letter_img,Li \& Ma tree (ours; PK-CCN),0.5808049201197261,0.01029649295949738,0.9783099999999999,0.0028263050083103323,0.6551429021299204,0.07896338339676831,0.6679087501604302,0.06449053893463756,8.567142814684106,1.6336990126317836,0.5,0.25
yeast_me2,Li \& Ma tree (ours; PK-CCN),0.5850615689551617,0.08393047540168881,0.7830188679245282,0.2922427574723626,0.10305210558067465,0.05714658925575826,0.13415368665467625,0.07092246522883701,0.2700621959928024,0.6038774283927776,0.5,0.25
webpage,Li \& Ma tree (ours; PK-CCN),0.5376514957908967,0.006461236465557132,0.9560264519838988,0.036485464626429154,0.4312211823872306,0.1725508794752911,0.43993560602346593,0.1615698327358542,6.434445959526006,3.0884616556476714,0.5,0.25
ozone_level,Li \& Ma tree (ours; PK-CCN),0.5379154963981286,0.044670068527036574,0.6750788643533123,0.2250712168128171,0.06596933575350841,0.03810931568499974,0.12418485927984764,0.07527219374981257,0.8317389647344621,0.8432593786748398,0.5,0.25
mammography,Li \& Ma tree (ours; PK-CCN),0.5937299313039206,0.019494168765828712,0.975659483144058,0.002312370055209856,0.46910938025649307,0.028820145529930213,0.4732258772572182,0.028669936341003992,4.546606338246613,1.0513152126601655,0.5,0.25
protein_homo,Li \& Ma tree (ours; PK-CCN),0.5835954210996374,0.016998663216691964,0.9965543975684558,0.00012054710127007145,0.7668878612347789,0.010943992067689087,0.7832779094066857,0.008683335044166221,13.96953009239148,0.8285870334321283,0.5,0.25
abalone_19,Li \& Ma tree (ours; PK-CCN),0.5469509907184793,0.05806141691592473,0.7341153938233183,0.2596675633343139,0.016691620976779238,0.01172916477687187,0.04427329453150873,0.027343148301061576,0.444516110203666,0.7314747976696082,0.5,0.25
