dataset,method,threshold,threshold_std,accuracy,accuracy_std,f1,f1_std,g,g_std,lima,lima_std,p_minus,p_plus
ecoli,Li \& Ma tree (ours; PK-CCN),0.6084575573465567,0.044172034208916924,0.7327380952380953,0.12241155004750988,0.39319567856365284,0.1568238275061696,0.44368193020854835,0.13159077791716195,1.9290361210729436,1.4453538072846728,0.5,0.1
optical_digits,Li \& Ma tree (ours; PK-CCN),0.6369290402064509,0.00313481792553262,0.9659430604982207,0.001544049334513627,0.8117956062867597,0.00838340274634593,0.8155556414087769,0.007975031731045837,16.334718483896452,0.612170337397356,0.5,0.1
satimage,Li \& Ma tree (ours; PK-CCN),0.6327948596804877,0.007224410808388401,0.9042735042735043,0.0074907066076115416,0.5668722009277579,0.010715663773587788,0.5724036647694456,0.013859108366601968,10.965634865994485,1.34025469086465,0.5,0.1
pen_digits,Li \& Ma tree (ours; PK-CCN),0.6361836009769177,0.008314233196743825,0.9873362445414846,0.0034900602567337533,0.9328041945197258,0.017802528219822755,0.9330844520259785,0.0178493945850891,25.497417019872795,0.8481900217011185,0.5,0.1
abalone,Li \& Ma tree (ours; PK-CCN),0.5707367824061198,0.04761716185863785,0.7799856356236534,0.0899057417286183,0.3512971729323789,0.06803156452402248,0.3871414695448968,0.05438970165853891,5.8460938563557265,1.9205913304907427,0.5,0.1
sick_euthyroid,Li \& Ma tree (ours; PK-CCN),0.6054760484224191,0.0036453811032327197,0.9546000632311097,0.00545585921115664,0.7562363276440663,0.03361068895728312,0.7573362672323544,0.03426620912774894,10.848093856939295,1.0085635696980106,0.5,0.1
spectrometer,Li \& Ma tree (ours; PK-CCN),0.6809426345592621,0.07478631747607445,0.8821092278719398,0.09118262122402553,0.5452824146267439,0.174364300566892,0.569963889017868,0.14983615745960083,2.2203681328289333,1.9848601362369422,0.5,0.1
car_eval_34,Li \& Ma tree (ours; PK-CCN),0.5769457873161576,0.012083026224168819,0.9030092592592593,0.017593925083553136,0.5351648883883442,0.03859707079136994,0.5543420683410283,0.03597415239943335,4.611103552673818,0.5749901650801533,0.5,0.1
isolet,Li \& Ma tree (ours; PK-CCN),0.6044702679911171,0.004391332032014806,0.946158779017571,0.007245184968627443,0.6548788602143961,0.03933779968067685,0.6567424768395947,0.03814118933434323,13.405385985595519,1.4191632256964128,0.5,0.1
us_crime,Li \& Ma tree (ours; PK-CCN),0.6098189675267968,0.016770863177637138,0.8905717151454363,0.014958796060756573,0.44527027150341086,0.025721921050254552,0.45947530091811134,0.029674607650759417,4.6083558105693445,0.8629434688981299,0.5,0.1
yeast_ml8,Li \& Ma tree (ours; PK-CCN),0.4858077417716373,0.043486901556260185,0.3481175010343401,0.17169811225104004,0.14163703020388502,0.009514730856363543,0.23765193880368446,0.02713093147901564,2.3167256166737817,1.1631670458704044,0.5,0.1
scene,Li \& Ma tree (ours; PK-CCN),0.5099498430152678,0.029714596913836423,0.446530951391774,0.20186094973036406,0.16638602096092614,0.012736838652593124,0.2598827410466406,0.031214671358475856,2.3338774796537267,1.0884223392421037,0.5,0.1
libras_move,Li \& Ma tree (ours; PK-CCN),0.5748505697580724,0.06058967419076662,0.6827777777777777,0.14161763857498666,0.2193553847830913,0.07051636140565996,0.2834844689422543,0.05628589650530747,1.1543929764469563,0.7080496604652392,0.5,0.1
thyroid_sick,Li \& Ma tree (ours; PK-CCN),0.59544306321293,0.01360990006315812,0.961558854718982,0.01206329458372583,0.7027795106120197,0.05163385635187309,0.7077770379525987,0.04802728955855132,9.098339521246995,1.513941384538907,0.5,0.1
coil_2000,Li \& Ma tree (ours; PK-CCN),0.4343991534173458,0.07397501552564523,0.1278761962940338,0.05504499300499117,0.11503185875685876,0.002486345861888719,0.24102827610723518,0.006309654240914382,4.776778823468539,1.203751644411626,0.5,0.1
arrhythmia,Li \& Ma tree (ours; PK-CCN),0.4575103364406893,0.06834004033866584,0.3663716814159292,0.20256113301584192,0.10647592963281378,0.018500246313309678,0.19751906532643287,0.04602090227919179,0.5810096168831684,0.7984367941478497,0.5,0.1
solar_flare_m0,Li \& Ma tree (ours; PK-CCN),0.5918302851720177,0.0511693567804241,0.8148308135349172,0.1411990425083162,0.17017565048369485,0.053061787109104364,0.20495420508472323,0.05926806044138508,2.0251519563293665,1.4890671105726931,0.5,0.1
