dataset,method,threshold,threshold_std,accuracy,accuracy_std,f1,f1_std,g,g_std,lima,lima_std,p_minus,p_plus
ecoli,Li \& Ma tree (ours; PK-CCN),0.2589311809140278,0.04299955434033979,0.8577380952380953,0.050129155750279986,0.5423646458794235,0.09628105515786366,0.5704282579533085,0.08469554338496162,5.727441496799396,1.3502884708637304,0.1,0.3
optical_digits,Li \& Ma tree (ours; PK-CCN),0.27110556040887984,0.0073335570561148065,0.9625266903914591,0.006985657256288726,0.8180652640838335,0.027359800769549882,0.8193019150045663,0.026755910847681343,28.629934498828522,0.5341972483610941,0.1,0.3
satimage,Li \& Ma tree (ours; PK-CCN),0.2510894181266338,0.01182934617458605,0.8840404040404041,0.010609062876442867,0.5717696514255285,0.012954331283296535,0.5958055224648667,0.007496593930426565,23.91087582665863,1.0226537725478937,0.1,0.3
pen_digits,Li \& Ma tree (ours; PK-CCN),0.2912021090255682,0.0071979500346537805,0.9930858806404658,0.0011123561918338252,0.9633874729946644,0.0059112874638856845,0.963538017364573,0.005890466810949404,44.69499377093837,0.630744263164154,0.1,0.3
abalone,Li \& Ma tree (ours; PK-CCN),0.18595829390827573,0.01988440676597753,0.7325831936796744,0.04558568271911386,0.3669515004153093,0.021440580879291984,0.4400882299526656,0.007852481937228211,14.950861273383769,0.8858534820805231,0.1,0.3
sick_euthyroid,Li \& Ma tree (ours; PK-CCN),0.2576644852588295,0.023572502234355624,0.966740436294657,0.0036144198765798896,0.8304134695247205,0.012313754609230319,0.8319729082652051,0.010773136751856517,21.412983954535996,0.6725769529537897,0.1,0.3
spectrometer,Li \& Ma tree (ours; PK-CCN),0.35416558575201973,0.06555281580356247,0.9593220338983051,0.014193177914438283,0.7517852948085506,0.09265611535565511,0.758906116924966,0.08500794817732783,7.42186166399752,1.4735070793740819,0.1,0.3
car_eval_34,Li \& Ma tree (ours; PK-CCN),0.2137947476804773,0.00980881937309873,0.954050925925926,0.008924053947315387,0.7555655645403664,0.04081054862508497,0.7671138912956593,0.037992125485668486,13.950014281833063,1.5864575012998312,0.1,0.3
isolet,Li \& Ma tree (ours; PK-CCN),0.25626741565069056,0.004197121304180194,0.9549826856483262,0.0051994489677117915,0.7480925513056027,0.019179639471479437,0.7554563959350356,0.016170137222188352,28.08364229010595,0.9859308074681588,0.1,0.3
us_crime,Li \& Ma tree (ours; PK-CCN),0.23964272471890183,0.02125840949989896,0.8974924774322968,0.016491036294908102,0.5079999431030944,0.019211779425185496,0.5289230998059058,0.009561105326280683,10.818004529426393,0.5297165444952805,0.1,0.3
yeast_ml8,Li \& Ma tree (ours; PK-CCN),0.08674530034841008,0.016786886921515465,0.1571369466280513,0.055892966939282224,0.14228888238250298,0.004166327660546879,0.2699859371424658,0.00701674203505114,6.674211708895902,0.7535498237752505,0.1,0.3
scene,Li \& Ma tree (ours; PK-CCN),0.1225738707988436,0.009963306958909967,0.3935189031990029,0.06133794832325636,0.17864293132632883,0.014336789886062162,0.2973150650389652,0.014940884062201022,7.198722720086413,1.2050508300660063,0.1,0.3
libras_move,Li \& Ma tree (ours; PK-CCN),0.2879422925582482,0.07756484468717827,0.8877777777777778,0.08599005828266887,0.5004673442127061,0.1447887563670427,0.5356836319143883,0.11127018111469474,4.335452485357505,1.819275848431272,0.1,0.3
thyroid_sick,Li \& Ma tree (ours; PK-CCN),0.233420963805115,0.015083610713030519,0.9729586426299045,0.003586359824620557,0.7910046959605161,0.02213808147215838,0.7924744799027932,0.021105826745405697,18.674010490764108,1.1232708257330941,0.1,0.3
coil_2000,Li \& Ma tree (ours; PK-CCN),0.11879269710143485,0.012965641974629231,0.3665444919568316,0.14012800250967009,0.13959828048296757,0.015650571035971377,0.25245032973723824,0.005441123546951742,11.330703924929889,1.5480120972614257,0.1,0.3
arrhythmia,Li \& Ma tree (ours; PK-CCN),0.15903579538618917,0.0445842745485819,0.6407079646017699,0.21364511705257944,0.19820615931155777,0.07698033728271803,0.27070981912952685,0.03975196400810487,3.0362264950467135,1.130600782782859,0.1,0.3
solar_flare_m0,Li \& Ma tree (ours; PK-CCN),0.1622356345186495,0.050303602111202966,0.6711303095752339,0.2061144936645355,0.16139327908868878,0.03872369779357236,0.2273859627269134,0.026440250801291594,3.5774484962157778,1.5217550268069928,0.1,0.3
oil,Li \& Ma tree (ours; PK-CCN),0.2639470639458591,0.03911933723782182,0.9351120597652081,0.02844138512040536,0.3884391580554626,0.036555241400489734,0.4086031495947613,0.029091079123339553,4.722164425749593,0.7643411275331136,0.1,0.3
car_eval_4,Li \& Ma tree (ours; PK-CCN),0.19556094195156531,0.01658829368110202,0.9530092592592592,0.02478108996470536,0.5881543271863817,0.11368772923409459,0.6158102886856774,0.09584971180057039,7.929405063937952,1.9951025239906575,0.1,0.3
wine_quality,Li \& Ma tree (ours; PK-CCN),0.16069195947232728,0.008305930198372584,0.8881584320130665,0.034305303944762194,0.2658394696829582,0.03000014569579608,0.30684641405585317,0.02892649843469653,7.249141402607516,1.1255124727640446,0.1,0.3
