dataset,method,threshold,threshold_std,accuracy,accuracy_std,f1,f1_std,g,g_std,lima,lima_std,p_minus,p_plus
ecoli,Li \& Ma tree (ours; PK-CCN),0.4876622505050928,0.03958769275141574,0.8553571428571429,0.079654111597149,0.5360587950664641,0.12749012126528175,0.557995300427392,0.10873410732574713,4.330114077012984,1.683101566887568,0.3,0.1
optical_digits,Li \& Ma tree (ours; PK-CCN),0.4966610692073564,0.006097778334893334,0.9698576512455516,0.002673779894129767,0.8399486800108116,0.013690461787162773,0.8409152369595476,0.013819072501072692,24.26414339834593,0.5582083225029169,0.3,0.1
satimage,Li \& Ma tree (ours; PK-CCN),0.49801985088454054,0.01287870195642724,0.9106449106449107,0.0058425085305694735,0.5921045218647971,0.006499814786884152,0.5967268462960899,0.010429602546746564,18.284360538266974,1.2388199339726733,0.3,0.1
pen_digits,Li \& Ma tree (ours; PK-CCN),0.501607474948998,0.003012309273966434,0.9923944687045123,0.0013302312027972498,0.9595103089080471,0.00681276251730167,0.9597795454709072,0.006917453777575473,38.807499109924905,0.6130126402761948,0.3,0.1
abalone,Li \& Ma tree (ours; PK-CCN),0.413134136959037,0.016815049419738555,0.7966483121857793,0.020967944312495,0.393161328110732,0.020291142470678137,0.4378645916319318,0.019796225208212562,10.407803837513246,0.7953872026032028,0.3,0.1
sick_euthyroid,Li \& Ma tree (ours; PK-CCN),0.45708618421670033,0.009178196012001878,0.9650331963325958,0.004161980963329505,0.8121045022681352,0.026676832918069528,0.8127018804286614,0.026413626557413642,17.12828379438377,0.7315398679701555,0.3,0.1
spectrometer,Li \& Ma tree (ours; PK-CCN),0.5615521443845235,0.035830201518856825,0.9559322033898304,0.01302025312048484,0.7540569693735708,0.04877622198144862,0.7574824306873915,0.04592929835915188,6.172790012278132,0.8750930251460405,0.3,0.1
car_eval_34,Li \& Ma tree (ours; PK-CCN),0.4248629881723109,0.012809224288717351,0.9542824074074074,0.01572647944641341,0.7300857694376678,0.045935676626914335,0.7359624887199828,0.03620030274051456,10.262851359685689,0.9437733532996199,0.3,0.1
isolet,Li \& Ma tree (ours; PK-CCN),0.46089544941602145,0.006949156543263198,0.9552648454533795,0.004401389502510621,0.7346907878510798,0.015364636266355322,0.737924305341852,0.013928914982313126,22.322330113324245,0.5686687224914523,0.3,0.1
us_crime,Li \& Ma tree (ours; PK-CCN),0.4510886236299199,0.016675550287357784,0.9006018054162487,0.010717422502743254,0.49712999186591356,0.03256134961980729,0.5124315220829134,0.03480904415901817,7.9413271877815275,0.7255260363527819,0.3,0.1
yeast_ml8,Li \& Ma tree (ours; PK-CCN),0.2810442035609826,0.03317465311989886,0.20173769135291683,0.07490370718240093,0.14501191545700703,0.006609199668828633,0.26851919760645143,0.009055784367070073,4.077847407740587,0.8850608426884785,0.3,0.1
scene,Li \& Ma tree (ours; PK-CCN),0.34444424501976245,0.017155832571897615,0.5916909015371832,0.1170128625080205,0.19394923699609518,0.01641174550407712,0.27266615633881464,0.023521224856170687,4.319611523812597,0.8515501210205362,0.3,0.1
libras_move,Li \& Ma tree (ours; PK-CCN),0.48378142448495964,0.10009265455614677,0.7877777777777778,0.23196190885680742,0.36398885054808205,0.14590417846220713,0.4069544958335468,0.11055648239322577,2.2711755947426786,0.9144332563592545,0.3,0.1
thyroid_sick,Li \& Ma tree (ours; PK-CCN),0.4406410943494234,0.014884320183499751,0.9735418875927889,0.002374190156653018,0.7803979697593297,0.017577527285385898,0.780662947526918,0.01787826803463783,14.742825414675405,0.6716855254885907,0.3,0.1
coil_2000,Li \& Ma tree (ours; PK-CCN),0.2740046904154562,0.034742294963306414,0.14978619425778864,0.09778979684960629,0.1175183733180841,0.005749411005254457,0.24298893865556392,0.0024621822540126562,7.44757108201617,0.4822924388937876,0.3,0.1
arrhythmia,Li \& Ma tree (ours; PK-CCN),0.31480271378009766,0.07083363106650341,0.48672566371681414,0.18777960330905258,0.1207559346191536,0.02243508924762011,0.20225027243798538,0.03895931384612276,1.5916900028662964,1.1570388969021026,0.3,0.1
solar_flare_m0,Li \& Ma tree (ours; PK-CCN),0.3766141086996356,0.025271172093801683,0.780849532037437,0.117792126365028,0.18781303546029887,0.04257390103131233,0.23433986632837067,0.033084234480226335,2.5703044895297458,1.3543615102576518,0.3,0.1
oil,Li \& Ma tree (ours; PK-CCN),0.4424209510834028,0.05563266520681136,0.8949839914621132,0.07839136165694183,0.3427189487460427,0.12061928069183207,0.3687848127010294,0.09058373501389837,2.7790329882293685,1.5375056164397454,0.3,0.1
car_eval_4,Li \& Ma tree (ours; PK-CCN),0.3980486825009054,0.011042765118635618,0.950462962962963,0.01695414207162294,0.5289306834153287,0.11125942382897652,0.5480247488496295,0.10202736730630882,5.543191708952971,1.4414861218852595,0.3,0.1
wine_quality,Li \& Ma tree (ours; PK-CCN),0.3859454608250444,0.029643186288809152,0.8925275622703144,0.05435326164798707,0.22151389295457252,0.03755172074963314,0.24574780219185888,0.02076891477280132,3.941311398152198,1.539277699298369,0.3,0.1
letter_img,Li \& Ma tree (ours; PK-CCN),0.49910722880312147,0.01287579315707504,0.98787,0.0008722098371378198,0.8118586825670506,0.013253614984946331,0.8197901913035487,0.0134819377063802,27.644493158392503,0.7009819985924085,0.3,0.1
yeast_me2,Li \& Ma tree (ours; PK-CCN),0.4191076068836021,0.038990493429517686,0.9083557951482479,0.05285570990908817,0.24998179154241015,0.05164885764042398,0.27602926089671836,0.03623775841636055,2.223108279654226,1.0233628861958763,0.3,0.1
webpage,Li \& Ma tree (ours; PK-CCN),0.36009987244366226,0.0022375455204144815,0.9784588844163313,0.0013827067167969465,0.5740621323811752,0.05213226120120545,0.5805142356560745,0.04403123093957407,22.379932033918823,1.790737846505438,0.3,0.1
ozone_level,Li \& Ma tree (ours; PK-CCN),0.3551199196420376,0.027390895868299795,0.7474763406940064,0.11764595026852681,0.13257513696172277,0.04515037591640258,0.2073584166359015,0.03982947037107832,2.3336463866029953,1.781477393283998,0.3,0.1
mammography,Li \& Ma tree (ours; PK-CCN),0.4769161572531616,0.026218719700959434,0.9822409013681481,0.0026718911772487777,0.5812513234524193,0.026766940311326905,0.5880300947913455,0.02948964327570323,11.71232374172164,0.3608873100691036,0.3,0.1
protein_homo,Li \& Ma tree (ours; PK-CCN),0.45637681160681665,0.012469040116209362,0.9968603988994931,2.502155392250515e-05,0.7911190262679545,0.0023546175357140324,0.8047436052054608,0.0017797438113684753,35.84342962443495,0.6517891309384614,0.3,0.1
abalone_19,Li \& Ma tree (ours; PK-CCN),0.34133108160187126,0.028518913956842716,0.6512808235575772,0.15156446000979734,0.015153816571976014,0.003971696663422306,0.05291043666246603,0.022242894308432435,0.14037421975140116,0.31388629765262666,0.3,0.1
