dataset,method,threshold,threshold_std,accuracy,accuracy_std,f1,f1_std,g,g_std,lima,lima_std,p_minus,p_plus
ecoli,Li \& Ma tree (ours; PK-CCN),0.3923948393383839,0.033726701923890115,0.8797619047619047,0.0301756948943728,0.5574217304182462,0.07200632656688974,0.5722912693794904,0.06643243290917118,4.5065306019786835,0.8969983474681666,0.2,0.2
optical_digits,Li \& Ma tree (ours; PK-CCN),0.39435801358105244,0.013197497900306878,0.9684341637010675,0.003686753733060227,0.8357206880570567,0.01956554865051613,0.8360295281639909,0.019510339551058214,25.37387527739073,1.0069308606641305,0.2,0.2
satimage,Li \& Ma tree (ours; PK-CCN),0.3714480146560309,0.011718280363072976,0.8935198135198135,0.010227172188928782,0.5803903457554052,0.010839917076161117,0.5970071432431039,0.005310975229153979,20.092314868824747,1.0128309607113777,0.2,0.2
pen_digits,Li \& Ma tree (ours; PK-CCN),0.3943254720899865,0.00347709118809825,0.9922852983988355,0.0011388270613745533,0.9590714311782571,0.0060513175515915785,0.959233544567643,0.006045173125750155,40.125909482187346,0.7848636100560328,0.2,0.2
abalone,Li \& Ma tree (ours; PK-CCN),0.2938286929726914,0.011994568667568307,0.7322959061527412,0.04744878913751443,0.36004050924090425,0.0262608411210777,0.43006574395211183,0.01571703380779392,11.657368259345034,0.8500085338799368,0.2,0.2
sick_euthyroid,Li \& Ma tree (ours; PK-CCN),0.35997835044180965,0.015397123150489285,0.9674992096111288,0.0024631743510316003,0.8295291304543296,0.010904073054883594,0.8300746096544518,0.010856023460903984,18.38461379919078,1.4085354797110783,0.2,0.2
spectrometer,Li \& Ma tree (ours; PK-CCN),0.4549780174682373,0.0588257201670258,0.952165725047081,0.012320472492501762,0.7306599842352939,0.0487701360447634,0.7378417162689429,0.044998949229291346,6.479247719602324,1.453879251075354,0.2,0.2
car_eval_34,Li \& Ma tree (ours; PK-CCN),0.3182478762807286,0.009048050110440914,0.9528935185185186,0.0023003017261981414,0.7379939942073865,0.011755122048266481,0.7456709233645801,0.014804890065210605,11.426473155479723,0.8846729522147155,0.2,0.2
isolet,Li \& Ma tree (ours; PK-CCN),0.36218990449078337,0.005103457513073891,0.954315762472746,0.004663597299987478,0.7362557511335551,0.02003896001424064,0.7409469996304255,0.018538678314371088,23.946856469418087,1.3965134281611813,0.2,0.2
us_crime,Li \& Ma tree (ours; PK-CCN),0.36767280585246953,0.01687118505811569,0.9098294884653961,0.011143109792830166,0.5118396947740905,0.020151475339369056,0.5221880173743326,0.021004796804755574,9.155425981788948,1.2484082081258705,0.2,0.2
